EmployeeCode,NoOfDays,StartDate,EndDate,LeaveTypeCode,LeaveTypeName
182558,1.0,2024-12-31,2024-12-31,1.0,Annual Leave
182559,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182559,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182560,,,,,
182561,1.0,2024-12-23,2024-12-23,16.0,Unauthorized leave 
182561,1.0,2024-12-27,2024-12-27,16.0,Unauthorized leave 
182561,1.0,2024-12-30,2024-12-30,16.0,Unauthorized leave 
182561,1.0,2024-12-26,2024-12-26,16.0,Unauthorized leave 
182561,1.0,2024-12-24,2024-12-24,16.0,Unauthorized leave 
182561,1.0,2024-12-31,2024-12-31,16.0,Unauthorized leave 
182561,1.0,2025-01-02,2025-01-02,16.0,Unauthorized leave 
182562,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182562,1.0,2024-12-23,2024-12-23,1.0,Annual Leave
182563,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182563,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182564,1.0,2025-01-15,2025-01-15,2.0,Casual Leave
182565,,,,,
182566,0.5,2024-12-24,2024-12-24,2.0,Casual Leave
182566,1.0,2024-12-26,2024-12-26,2.0,Casual Leave
182566,1.0,2024-12-27,2024-12-27,2.0,Casual Leave
182567,,,,,
182568,,,,,
182569,,,,,
182570,,,,,
182571,1.0,2025-01-08,2025-01-08,2.0,Casual Leave
182572,,,,,
182573,1.0,2025-01-17,2025-01-17,2.0,Casual Leave
182574,,,,,
182575,,,,,
182576,1.0,2024-12-26,2024-12-26,2.0,Casual Leave
182576,1.0,2024-12-27,2024-12-27,2.0,Casual Leave
182577,,,,,
182578,,,,,
182579,,,,,
182580,1.0,2024-12-26,2024-12-26,16.0,Unauthorized leave 
182581,1.0,2025-01-09,2025-01-09,1.0,Annual Leave
182581,1.0,2025-01-10,2025-01-10,1.0,Annual Leave
182582,,,,,
182583,,,,,
182584,,,,,
182585,,,,,
182586,,,,,
182587,,,,,
182588,,,,,
182589,1.0,2024-12-31,2024-12-31,1.0,Annual Leave
182589,1.0,2024-12-30,2024-12-30,1.0,Annual Leave
182589,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182590,1.0,2024-12-30,2024-12-30,16.0,Unauthorized leave 
182591,,,,,
182592,,,,,
182593,,,,,
182594,,,,,
182595,,,,,
182596,1.0,2025-01-17,2025-01-17,2.0,Casual Leave
182597,,,,,
182598,,,,,
182599,,,,,
182600,,,,,
182601,,,,,
182602,,,,,
182603,,,,,
182604,,,,,
182605,,,,,
182606,,,,,
182607,,,,,
182608,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182609,0.5,2025-01-15,2025-01-15,2.0,Casual Leave
182610,,,,,
182611,,,,,
182613,,,,,
182614,,,,,
182615,,,,,
182616,,,,,
182617,,,,,
182618,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182618,1.0,2024-12-31,2024-12-31,1.0,Annual Leave
182618,1.0,2025-01-16,2025-01-16,2.0,Casual Leave
